rzd.ru,Транспорт
gosuslugi.ru,Госуслуги
esia.gosuslugi.ru,Госуслуги
nalog.ru,Госуслуги
mos.ru,Госуслуги
login.mos.ru,Госуслуги
school.mos.ru,Школа
dnevnik.mos.ru,Школа
evp.mos.ru,Госуслуги
pay.mos.ru,Госуслуги
egip.mos.ru,Госуслуги
stats.mos.ru,Госуслуги
crowd.dit-okc.ru,Госуслуги
mosenergosbyt.ru,ЖКХ
my.mosenergosbyt.ru,ЖКХ
pay.vbrr.ru,ЖКХ,оплата ЖКХ
e.mail.ru
ivi.ru,Стриминг
kinopoisk.ru,Стриминг
hd.kinopoisk.ru,Стриминг
yastatic.net,Стриминг
mda.kinopoisk.ru,Стриминг
api.ott.kinopoisk.ru,Стриминг
widevine-proxy.ott.yandex.ru,Стриминг
timing.ott.yandex.net,Стриминг
tracking.ott.yandex.net,Стриминг
concurrency-arbiter.ott.yandex.net,Стриминг
strm.yandex.ru,Стриминг
log.strm.yandex.ru,Стриминг
strm-ams10.strm.yandex.net,Стриминг
decathlon.ru,Магазины
leroymerlin.ru,Магазины
cian.ru
dpd.ru
gorod.mos.ru,Госуслуги
privetmir.ru,НСПК МИР
api-user.privetmir.ru,НСПК МИР
pochtabank.ru,Банки
my.pochtabank.ru,Банки
mobile.open.ru,Банки
banki.ru,Банки
bank.bcs.ru,Банки
core-renderer-tiles.maps.yandex.net,Карты
core-sat.maps.yandex.net,Карты
uchi.ru,Школа
pochta.ru,Почта
karofilm.ru,Развлечения
aeroflot.ru,Транспорт
